country,year,sex,age,suicides_no,population
Greece,2007,male,35-54 years,101.0,1629000.0
Greece,2007,male,5-14 years,1.0,545096.0
Greece,2007,male,55-74 years,75.0,1149577.0
Greece,2007,male,75+ years,25.0,399870.0
Greece,2008,female,15-24 years,0.0,595248.0
Greece,2008,female,25-34 years,8.0,809164.0
Greece,2008,female,35-54 years,35.0,1634510.0
Greece,2008,female,5-14 years,0.0,512841.0
Greece,2008,female,55-74 years,14.0,1307510.0
Greece,2008,female,75+ years,8.0,546431.0
Greece,2008,male,15-24 years,15.0,642167.0
Greece,2008,male,25-34 years,52.0,874575.0
Greece,2008,male,35-54 years,115.0,1650138.0
Greece,2008,male,5-14 years,0.0,543879.0
Greece,2008,male,55-74 years,71.0,1154680.0
Greece,2008,male,75+ years,55.0,415580.0
Greece,2009,female,15-24 years,2.0,581847.0
Greece,2009,female,25-34 years,11.0,796656.0
Greece,2009,female,35-54 years,20.0,1650941.0
Greece,2009,female,5-14 years,0.0,512001.0
Greece,2009,female,55-74 years,16.0,1307683.0
Greece,2009,female,75+ years,9.0,574168.0
Greece,2009,male,15-24 years,17.0,626013.0
Greece,2009,male,25-34 years,56.0,863841.0
Greece,2009,male,35-54 years,130.0,1670385.0
Greece,2009,male,5-14 years,0.0,543425.0
Greece,2009,male,55-74 years,81.0,1157880.0
Greece,2009,male,75+ years,49.0,434778.0
Greece,2010,female,15-24 years,4.0,570284.0
Greece,2010,female,25-34 years,6.0,777901.0
Greece,2010,female,35-54 years,14.0,1661514.0
Greece,2010,female,5-14 years,0.0,510970.0
Greece,2010,female,55-74 years,11.0,1311605.0
Greece,2010,female,75+ years,6.0,599568.0
Greece,2010,male,15-24 years,15.0,612178.0
Greece,2010,male,25-34 years,53.0,845373.0
Greece,2010,male,35-54 years,128.0,1685691.0
Greece,2010,male,5-14 years,0.0,542343.0
Greece,2010,male,55-74 years,85.0,1164937.0
Greece,2010,male,75+ years,55.0,453020.0
Greece,2011,female,15-24 years,11.0,559712.0
Greece,2011,female,25-34 years,14.0,755289.0
Greece,2011,female,35-54 years,29.0,1665130.0
Greece,2011,female,5-14 years,0.0,510880.0
Greece,2011,female,55-74 years,16.0,1316927.0
